Times;CH3 CH 3;CH4 CH 4;CH5 CH 5;CH6 CH 6;CH7 CH 7;CH8 CH 8
8.474 360 ms;0;0;1;0;1;0
8.474 390 ms;0;1;1;0;1;0
8.475 970 ms;0;1;1;0;0;0
8.476 680 ms;0;1;0;0;0;0
8.476 720 ms;0;0;0;0;0;0
8.508 940 ms;0;0;0;0;1;0
8.509 670 ms;0;0;1;0;1;0
8.511 830 ms;0;0;1;0;0;0
8.512 540 ms;0;0;0;0;0;0
8.595 210 ms;0;0;0;0;1;0
8.595 930 ms;0;0;1;0;1;0
8.598 100 ms;0;0;1;0;0;0
8.598 810 ms;0;0;0;0;0;0
8.672 850 ms;0;0;0;0;1;0
8.673 580 ms;0;0;1;0;1;0
8.673 640 ms;1;0;1;0;1;0
8.677 830 ms;1;0;1;0;0;0
8.678 540 ms;1;0;0;0;0;0
