Times;CH3 CH 3;CH4 CH 4;CH5 CH 5
13.547 630 ms;0;0;1
13.549 760 ms;0;0;0
13.633 900 ms;0;0;1
13.636 020 ms;0;0;0
13.666 770 ms;0;0;1
13.666 820 ms;1;0;1
13.670 950 ms;1;0;0
13.671 020 ms;0;0;0
13.720 170 ms;0;0;1
13.722 290 ms;0;0;0
13.789 180 ms;0;0;1
13.791 300 ms;0;0;0
13.892 700 ms;0;0;1
13.894 820 ms;0;0;0
13.943 900 ms;0;0;1
13.943 960 ms;1;0;1
13.948 110 ms;1;0;0
13.948 170 ms;0;0;0
13.978 960 ms;0;0;1
13.981 090 ms;0;0;0
14.065 230 ms;0;0;1
14.067 350 ms;0;0;0
14.134 240 ms;0;0;1
14.136 370 ms;0;0;0
14.221 040 ms;0;0;1
14.221 100 ms;1;0;1
14.225 230 ms;1;0;0
14.225 290 ms;0;0;0
14.237 760 ms;0;0;1
14.239 880 ms;0;0;0
14.253 600 ms;0;0;1
14.253 630 ms;0;1;1
14.255 790 ms;0;1;0
14.255 820 ms;0;0;0
14.324 000 ms;0;0;1
14.324 030 ms;0;1;1
14.325 570 ms;0;1;0
14.325 600 ms;0;0;0
14.327 080 ms;0;0;1
14.329 210 ms;0;0;0
14.410 290 ms;0;0;1
14.412 420 ms;0;0;0
14.470 680 ms;0;0;1
14.472 810 ms;0;0;0
14.498 180 ms;0;0;1
14.498 230 ms;1;0;1
14.502 380 ms;1;0;0
14.502 440 ms;0;0;0
14.582 830 ms;0;0;1
14.584 950 ms;0;0;0
14.651 840 ms;0;0;1
14.653 960 ms;0;0;0
14.755 360 ms;0;0;1
14.757 480 ms;0;0;0
14.775 310 ms;0;0;1
14.775 370 ms;1;0;1
14.779 500 ms;1;0;0
14.779 560 ms;0;0;0
14.841 630 ms;0;0;1
14.843 750 ms;0;0;0
14.927 890 ms;0;0;1
14.930 020 ms;0;0;0
14.996 900 ms;0;0;1
14.999 030 ms;0;0;0
15.031 410 ms;0;0;1
15.033 530 ms;0;0;0
15.052 450 ms;0;0;1
15.052 510 ms;1;0;1
15.056 660 ms;1;0;0
15.056 720 ms;0;0;0
15.186 690 ms;0;0;1
15.188 810 ms;0;0;0
15.272 960 ms;0;0;1
15.275 080 ms;0;0;0
15.298 830 ms;0;0;1
15.300 960 ms;0;0;0
15.329 590 ms;0;0;1
15.329 640 ms;1;0;1
15.333 780 ms;1;0;0
15.333 840 ms;0;0;0
15.445 490 ms;0;0;1
15.447 610 ms;0;0;0
15.531 760 ms;0;0;1
15.533 880 ms;0;0;0
15.606 720 ms;0;0;1
15.606 780 ms;1;0;1
15.610 930 ms;1;0;0
15.610 990 ms;0;0;0
15.618 020 ms;0;0;1
15.620 150 ms;0;0;0
15.704 290 ms;0;0;1
15.706 410 ms;0;0;0
15.790 550 ms;0;0;1
15.792 680 ms;0;0;0
15.861 720 ms;0;0;1
15.861 750 ms;0;1;1
15.863 910 ms;0;1;0
15.863 950 ms;0;0;0
15.876 820 ms;0;0;1
15.878 940 ms;0;0;0
15.883 860 ms;0;0;1
15.883 920 ms;1;0;1
15.888 060 ms;1;0;0
15.888 110 ms;0;0;0
15.928 580 ms;0;0;1
15.930 700 ms;0;0;0
15.958 760 ms;0;0;1
15.958 790 ms;0;1;1
15.960 310 ms;0;1;0
15.960 340 ms;0;0;0
16.049 350 ms;0;0;1
16.051 470 ms;0;0;0
16.135 620 ms;0;0;1
16.137 740 ms;0;0;0
16.161 000 ms;0;0;1
16.161 060 ms;1;0;1
16.165 200 ms;1;0;0
16.165 270 ms;0;0;0
16.221 880 ms;0;0;1
16.224 010 ms;0;0;0
16.308 150 ms;0;0;1
16.310 270 ms;0;0;0
16.385 790 ms;0;0;1
16.387 910 ms;0;0;0
16.438 130 ms;0;0;1
16.438 190 ms;1;0;1
16.442 330 ms;1;0;0
16.442 380 ms;0;0;0
16.480 680 ms;0;0;1
16.482 800 ms;0;0;0
16.566 950 ms;0;0;1
16.569 070 ms;0;0;0
16.627 330 ms;0;0;1
16.629 460 ms;0;0;0
16.715 270 ms;0;0;1
16.715 330 ms;1;0;1
16.719 480 ms;1;0;0
16.719 540 ms;0;0;0
16.722 220 ms;0;0;1
16.724 350 ms;0;0;0
16.825 750 ms;0;0;1
16.827 870 ms;0;0;0
16.894 760 ms;0;0;1
16.896 880 ms;0;0;0
16.992 410 ms;0;0;1
16.992 470 ms;1;0;1
16.998 960 ms;1;0;0
16.999 020 ms;0;0;0
17.000 510 ms;0;0;1
17.002 630 ms;0;0;0
17.065 780 ms;0;0;1
17.065 810 ms;0;1;1
17.068 130 ms;0;1;0
17.068 160 ms;0;0;0
17.084 550 ms;0;0;1
17.086 670 ms;0;0;0
17.136 200 ms;0;0;1
17.136 230 ms;0;1;1
17.137 770 ms;0;1;0
