time,duration,IPL
0.253760308,0.000002220,4
0.253762528,0.000042660,0
0.253805188,0.000002120,4
0.253807308,0.000066890,0
0.253874198,0.000002120,4
0.253876318,0.000032380,0
0.253908698,0.000002130,4
0.253910828,0.000033810,0
0.253944698,0.000004140,5
0.253948898,0.000097830,0
0.254046728,0.000002120,4
0.254048848,0.000101400,0
0.254150248,0.000002120,4
0.254152368,0.000069410,0
0.254221838,0.000004130,5
0.254226028,0.000010490,0
0.254236518,0.000002120,4
0.254238638,0.000084140,0
0.254322778,0.000002130,4
0.254324908,0.000007930,0
0.254332838,0.000002220,4
0.254335058,0.000073990,0
0.254409048,0.000002120,4
0.254411168,0.000084140,0
0.254495308,0.000002130,4
0.254497438,0.000001440,0
0.254498938,0.000004150,5
0.254503148,0.000078430,0
0.254581578,0.000002120,4
0.254583698,0.000084150,0
0.254667848,0.000002120,4
0.254669968,0.000084140,0
0.254754108,0.000002120,4
0.254756228,0.000019820,0
0.254776108,0.000004140,5
0.254780298,0.000051450,0
0.254831748,0.000002120,4
0.254833868,0.000071510,0
0.254905378,0.000002220,4
0.254907598,0.000019050,0
0.254926648,0.000002120,4
0.254928768,0.000023750,0
0.254952518,0.000002130,4
0.254954648,0.000098540,0
0.255053248,0.000004140,5
0.255057458,0.000012550,0
0.255070048,0.000002150,6
0.255072238,0.000026940,0
0.255099178,0.000002120,4
0.255101298,0.000039140,0
0.255140468,0.000001540,6
0.255142038,0.000034780,0
0.255176818,0.000002120,4
0.255178938,0.000092770,0
0.255271708,0.000002120,4
0.255273828,0.000056500,0
0.255330378,0.000004140,5
0.255334578,0.000023400,0
0.255357978,0.000002120,4
0.255360098,0.000084140,0
0.255444238,0.000002130,4
0.255446368,0.000031540,0
0.255477908,0.000002220,4
0.255480128,0.000050380,0
0.255530508,0.000002120,4
0.255532628,0.000049640,0
0.255582268,0.000002120,4
0.255584388,0.000023070,0
0.255607518,0.000004150,5
0.255611728,0.000091310,0
0.255703038,0.000002120,4
0.255705158,0.000084150,0
0.255789308,0.000002120,4
0.255791428,0.000084140,0
0.255875568,0.000002130,4
0.255877698,0.000006900,0
0.255884658,0.000004130,5
0.255888848,0.000072990,0
0.255961838,0.000002120,4
0.255963958,0.000066890,0
0.256030848,0.000002130,4
0.256032978,0.000017450,0
0.256050428,0.000002230,4
0.256052658,0.000081710,0
0.256134368,0.000002120,4
0.256136488,0.000025250,0
0.256161788,0.000004150,5
0.256165998,0.000054640,0
0.256220638,0.000002120,4
0.256222758,0.000024600,0
0.256247388,0.000002160,6
0.256249578,0.000057320,0
0.256306898,0.000002130,4
0.256309028,0.000008760,0
0.256317818,0.000001530,6
0.256319388,0.000056530,0
0.256375918,0.000002120,4
0.256378038,0.000060840,0
0.256438938,0.000004120,5
0.256443118,0.000036320,0
0.256479438,0.000002120,4
0.256481558,0.000084140,0
0.256565698,0.000002120,4
0.256567818,0.000055140,0
0.256622958,0.000002230,4
0.256625188,0.000026780,0
0.256651968,0.000002120,4
0.256654088,0.000058270,0
0.256712358,0.000002120,4
0.256714478,0.000001500,0
0.256716038,0.000004150,5
0.256720248,0.000104250,0
0.256824498,0.000002120,4
0.256826618,0.000066890,0
0.256893508,0.000002130,4
0.256895638,0.000097510,0
0.256993208,0.000006490,5
0.256999748,0.000001500,0
0.257001248,0.000002120,4
0.257003368,0.000080230,0
0.257083598,0.000002120,4
0.257085718,0.000084150,0
0.257169868,0.000002120,4
0.257171988,0.000023500,0
0.257195488,0.000002220,4
0.257197708,0.000041170,0
0.257238878,0.000002120,4
0.257240998,0.000029280,0
0.257270348,0.000006500,5
0.257276908,0.000001490,0
0.257278398,0.000002120,4
0.257280518,0.000013250,0
0.257293798,0.000002800,6
0.257296638,0.000057870,0
0.257354538,0.000005270,6
0.257359848,0.000001470,0
0.257361348,0.000013890,6
0.257375268,0.000001500,0
0.257376798,0.000043210,3
0.257420068,0.000002060,4
0.257422128,0.000050450,0
0.257472638,0.000001920,7
0.257474618,0.000023030,0
0.257497648,0.000002120,4
0.257499768,0.000041010,0
0.257540778,0.000002130,4
0.257542908,0.000004490,0
0.257547448,0.000004470,5
0.257551978,0.000135480,0
0.257687458,0.000002120,4
0.257689578,0.000075520,0
0.257765098,0.000002120,4
0.257767218,0.000001530,0
0.257768748,0.000002210,4
0.257770958,0.000053600,0
0.257824618,0.000004150,5
0.257828828,0.000026510,0
0.257855368,0.000002160,6
0.257857568,0.000002420,0
0.257859988,0.000002130,4
0.257862118,0.000084140,0
0.257946258,0.000002120,4
0.257948378,0.000003990,0
0.257952398,0.000001530,6
0.257953958,0.000078570,0
0.258032528,0.000002120,4
0.258034648,0.000067050,0
0.258101758,0.000004130,5
0.258105948,0.000012850,0
0.258118798,0.000002110,4
0.258120908,0.000049650,0
0.258170558,0.000002120,4
0.258172678,0.000118650,0
0.258291328,0.000002120,4
0.258293448,0.000047110,0
0.258340558,0.000002220,4
0.258342778,0.000034810,0
0.258377588,0.000001280,4
0.258378868,0.000004140,5
0.258383068,0.000082640,0
0.258465708,0.000002130,4
0.258467838,0.000084140,0
0.258551978,0.000002120,4
0.258554098,0.000027490,0
0.258581648,0.000001940,7
0.258583648,0.000045970,0
0.258629618,0.000002120,4
0.258631738,0.000024230,0
0.258656028,0.000004130,5
0.258660218,0.000064300,0
0.258724518,0.000002110,4
0.258726628,0.000084150,0
0.258810778,0.000002120,4
0.258812898,0.000075520,0
0.258888418,0.000002120,4
0.258890538,0.000022540,0
0.258913078,0.000002220,4
0.258915298,0.000017810,0
0.258933168,0.000004150,5
0.258937378,0.000028680,0
0.258966058,0.000002120,4
0.258968178,0.000090750,0
0.259058958,0.000002310,6
0.259061298,0.000008280,0
0.259069578,0.000002120,4
0.259071698,0.000057630,0
0.259129358,0.000001540,6
0.259130938,0.000007650,0
0.259138588,0.000002120,4
0.259140708,0.000069530,0
0.259210298,0.000004140,5
0.259214498,0.000027610,0
0.259242108,0.000002120,4
0.259244228,0.000084150,0
0.259328378,0.000002120,4
0.259330498,0.000066890,0
0.259397388,0.000002120,4
0.259399508,0.000075520,0
0.259475028,0.000002120,4
0.259477148,0.000008460,0
0.259485608,0.000001800,4
0.259487408,0.000004150,5
0.259491618,0.000095560,0
0.259587178,0.000002120,4
0.259589298,0.000066890,0
0.259656188,0.000002120,4
0.259658308,0.000101400,0
0.259759708,0.000002120,4
0.259761828,0.000002690,0
0.259764578,0.000004130,5
0.259768768,0.000068580,0
0.259837348,0.000002120,4
