time,duration,nestlevel
1.861486089,0.000083170,0
1.861569259,0.000003110,1
1.861572369,0.000061100,0
1.861633469,0.000005190,1
1.861638659,0.000016870,0
1.861655529,0.000003100,1
1.861658629,0.000057280,0
1.861715909,0.000003110,1
1.861719019,0.000109040,0
1.861828059,0.000003110,1
1.861831169,0.000005850,0
1.861837019,0.000003210,1
1.861840229,0.000065470,0
1.861905699,0.000003110,1
1.861908809,0.000001780,0
1.861910589,0.000005170,1
1.861915759,0.000084840,0
1.862000599,0.000003110,1
1.862003709,0.000074530,0
1.862078239,0.000003110,1
1.862081349,0.000091780,0
1.862173129,0.000003110,1
1.862176239,0.000011520,0
1.862187759,0.000005190,1
1.862192949,0.000066450,0
1.862259399,0.000003110,1
1.862262509,0.000065910,0
1.862328419,0.000003100,1
1.862331519,0.000078040,0
1.862409559,0.000003200,1
1.862412759,0.000010550,0
1.862423309,0.000003110,1
1.862426419,0.000038480,0
1.862464899,0.000005180,1
1.862470079,0.000016730,0
1.862486809,0.000002990,1
1.862489799,0.000028410,0
1.862518209,0.000003100,1
1.862521309,0.000083160,0
1.862604469,0.000003110,1
1.862607579,0.000083160,0
1.862690739,0.000003110,1
1.862693849,0.000048200,0
1.862742049,0.000005190,1
1.862747239,0.000003890,0
1.862751129,0.000003100,1
1.862754229,0.000109050,0
1.862863279,0.000003100,1
1.862866379,0.000083170,0
1.862949549,0.000003100,1
1.862952649,0.000029430,0
1.862982079,0.000003210,1
1.862985289,0.000033900,0
1.863019189,0.000005170,1
1.863024359,0.000011450,0
1.863035809,0.000003110,1
1.863038919,0.000048660,0
1.863087579,0.000003100,1
1.863090679,0.000048660,0
1.863139339,0.000003100,1
1.863142439,0.000109040,0
1.863251479,0.000003110,1
1.863254589,0.000041740,0
1.863296329,0.000005200,1
1.863301529,0.000010340,0
1.863311869,0.000003110,1
1.863314979,0.000143550,0
1.863458529,0.000003110,1
1.863461639,0.000022770,0
1.863484409,0.000003100,1
1.863487509,0.000067100,0
1.863554609,0.000003210,1
1.863557819,0.000015650,0
1.863573469,0.000005180,1
1.863578649,0.000052420,0
